Loaded project: 白色孤岛
Trial entry: Start 3,3 -> 试炼间 -> A1 6,11
Auto features: pickup=on, battle=on
Goal: win event; topK=1; maxExpansions=2000
Perf live: {"expandedPerSec":2.96,"generatedPerSec":22.4,"applyActionMsPerAction":1.0585,"enumerateActionsMsPerState":142.3181,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2305,"rssMb":200.6,"heapUsedMb":75,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.93,"generatedPerSec":22.34,"applyActionMsPerAction":1.0646,"enumerateActionsMsPerState":142.6485,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2306,"rssMb":201,"heapUsedMb":44,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.94,"generatedPerSec":22.38,"applyActionMsPerAction":1.0748,"enumerateActionsMsPerState":143.3877,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0053,"sortMsPerLoop":0.2306,"rssMb":201,"heapUsedMb":54.1,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.97,"generatedPerSec":22.29,"applyActionMsPerAction":1.0916,"enumerateActionsMsPerState":142.982,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2354,"rssMb":200.3,"heapUsedMb":59.5,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.98,"generatedPerSec":22.2,"applyActionMsPerAction":1.1075,"enumerateActionsMsPerState":142.7896,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2357,"rssMb":201.4,"heapUsedMb":62.8,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3,"generatedPerSec":22.26,"applyActionMsPerAction":1.1155,"enumerateActionsMsPerState":142.8687,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2357,"rssMb":203.4,"heapUsedMb":113.3,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3.01,"generatedPerSec":22.29,"applyActionMsPerAction":1.1258,"enumerateActionsMsPerState":143.2496,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2355,"rssMb":257.9,"heapUsedMb":168.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3,"generatedPerSec":22.29,"applyActionMsPerAction":1.1297,"enumerateActionsMsPerState":143.3653,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2355,"rssMb":257.7,"heapUsedMb":38.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":3,"generatedPerSec":22.27,"applyActionMsPerAction":1.1357,"enumerateActionsMsPerState":143.4964,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2359,"rssMb":259.1,"heapUsedMb":64.9,"eventLoopUtilization":0}
Perf live: {"expandedPerSec":2.99,"generatedPerSec":22.26,"applyActionMsPerAction":1.1399,"enumerateActionsMsPerState":143.6853,"stateKeyMsPerState":0.0002,"cloneMsPerAction":0.0054,"sortMsPerLoop":0.2359,"rssMb":259.2,"heapUsedMb":42.4,"eventLoopUtilization":0}
